depth	yearBP	SST	Notes
635.5	2578	10.07	MD99-2275
636.5	2583	6.65	MD99-2275
637.5	2588	10.16	MD99-2275
638.5	2594	9.95	MD99-2275
639.5	2599	10.58	MD99-2275
640.5	2604	7.12	MD99-2275
641.5	2609	10.90	MD99-2275
642.5	2614	8.15	MD99-2275
643.5	2619	10.00	MD99-2275
644.5	2624	8.31	MD99-2275
645.5	2629	9.83	MD99-2275
646.5	2634	7.57	MD99-2275
647.5	2640	9.76	MD99-2275
648.5	2645	8.17	MD99-2275
649.5	2650	9.88	MD99-2275
650.5	2655	8.89	MD99-2275
651.5	2660	9.26	MD99-2275
652.5	2665	8.27	MD99-2275
653.5	2670	9.45	MD99-2275
654.5	2675	9.60	MD99-2275
655.5	2681	9.27	MD99-2275
656.5	2686	8.79	MD99-2275
657.5	2691	8.93	MD99-2275
658.5	2701	8.18	MD99-2275
659.5	2706	9.76	MD99-2275
660.5	2711	9.08	MD99-2275
661.5	2716	8.79	MD99-2275
662.5	2721	9.08	MD99-2275
663.5	2727	10.46	MD99-2275
664.5	2732	10.38	MD99-2275
665.5	2737	10.64	MD99-2275
666.5	2742	10.19	MD99-2275
667.5	2747	9.97	MD99-2275
668.5	2752	9.80	MD99-2275
669.5	2757	9.79	MD99-2275
670.5	2762	9.99	MD99-2275
671.5	2768	9.66	MD99-2275
672.5	2773	11.09	MD99-2275
673.5	2778	10.10	MD99-2275
674.5	2788	9.87	MD99-2275
675.5	2793	9.71	MD99-2275
676.5	2798	8.69	MD99-2275
677.5	2803	9.32	MD99-2275
678.5	2809	8.13	MD99-2275
679.5	2814	9.46	MD99-2275
680.5	2819	8.77	MD99-2275
681.5	2824	9.49	MD99-2275
682.5	2829	8.76	MD99-2275
683.5	2834	9.65	MD99-2275
684.5	2839	9.15	MD99-2275
685.5	2844	8.02	MD99-2275
686.5	2849	9.31	MD99-2275
687.5	2855	10.28	MD99-2275
688.5	2860	9.16	MD99-2275
689.5	2865	9.41	MD99-2275
690.5	2870	8.71	MD99-2275
691.5	2875	9.71	MD99-2275
